,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure,south_city
407,979,37,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.1,20,12,1.75,Not south & Not central city
408,980,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.66,30,13,6.5,Not south & Not central city
409,981,44,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,NotMentioned,4.77,23,12,2.67,Not south & Not central city
410,983,42,White,Single,Never married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,1.86,50,18,3.75,Not south & Not central city
411,984,39,White,Single,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,5.23,37,15,3.92,Not south & Not central city
412,987,37,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Service,Nonunion,8.66,40,11,9.08,South & Not central city
413,988,35,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,NotMentioned,2.8,23,5,2.42,Not south & Not central city
414,989,39,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.34,38,18,17.42,Not south & Not central city
415,990,40,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,NotMentioned,7.05,40,17,0.0,Not south & Not central city
416,991,41,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Union,11.51,40,20,20.17,Not south & Not central city
417,993,41,White,Married,Has been married,15,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Union,14.03,40,21,20.75,Not south & Not central city
418,994,41,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,Nonunion,12.2,60,4,0.67,Not south & Not central city
419,996,38,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,6.93,67,10,0.83,Not south & Not central city
420,998,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,NotMentioned,5.94,40,5,0.25,Not south & Not central city
421,999,40,White,Single,Has been married,10,Not college grad,Not south,Not SMSA,Not central city,Personal services,Transport,Nonunion,6.04,35,7,2.67,Not south & Not central city
422,1001,45,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,NotMentioned,4.39,40,11,4.08,Not south & Not central city
423,1006,38,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.05,40,20,19.92,Not south & Not central city
424,1007,40,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.07,40,12,1.08,Not south & Not central city
425,1009,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,12.0,40,10,3.42,Not south & Not central city
426,1011,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,14.29,44,19,8.25,Not south & Not central city
427,1013,40,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Personal services,Managers/Admin,Nonunion,4.03,45,13,5.0,Not south & Not central city
428,1014,45,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.56,40,14,1.0,Not south & Not central city
429,1015,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Union,5.03,20,8,7.58,Not south & Not central city
430,1016,41,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,5.03,25,12,1.75,Not south & Not central city
431,1017,44,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.05,28,17,3.42,Not south & Central city
432,1018,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,NotMentioned,4.43,40,2,0.0,Not south & Central city
433,1021,34,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,NotMentioned,3.34,40,7,0.42,Not south & Not central city
434,1023,43,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,10.97,45,17,3.92,Not south & Not central city
435,1025,37,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Managers/Admin,Nonunion,10.48,50,16,15.67,Not south & Central city
436,1026,38,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Laborers,Union,27.89,20,15,15.17,Not south & Central city
437,1028,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,5.64,20,17,1.67,Not south & Not central city
438,1029,38,White,Single,Has been married,16,College grad,South,SMSA,Central city,Professional services,Managers/Admin,Nonunion,11.7,45,14,2.08,South & Central city
439,1030,36,White,Single,Has been married,16,College grad,South,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.17,55,16,1.33,South & Central city
440,1033,37,Black,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.22,40,16,16.17,Not south & Central city
441,1034,45,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,5.64,40,13,9.17,Not south & Central city
442,1037,36,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Public administration,Sales,Nonunion,6.84,40,17,8.92,Not south & Not central city
443,1038,40,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.78,38,13,1.92,South & Not central city
444,1040,36,White,Single,Has been married,8,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,NotMentioned,26.8,60,4,1.42,Not south & Not central city
445,1041,41,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,5.03,40,15,14.67,South & Central city
446,1044,42,White,Single,Never married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,18.58,40,20,20.0,Not south & Not central city
447,1045,44,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Managers/Admin,Nonunion,15.81,47,13,9.0,Not south & Not central city
448,1048,40,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Union,9.68,40,11,6.67,Not south & Not central city
449,1051,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.03,24,14,12.25,Not south & Not central city
450,1055,44,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,3.1,15,12,7.33,Not south & Central city
451,1056,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,6.84,40,15,7.5,Not south & Not central city
452,1058,43,White,Single,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.38,50,16,1.92,Not south & Not central city
453,1060,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,Nonunion,8.98,40,13,1.33,Not south & Central city
454,1062,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,6.14,50,20,20.33,Not south & Central city
455,1065,39,White,Single,Never married,16,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,18.58,40,14,1.5,Not south & Central city
456,1066,43,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Nonunion,5.84,26,3,3.42,Not south & Central city
457,1067,39,White,Married,Has been married,17,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,7.25,32,13,1.0,Not south & Central city
458,1071,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,NotMentioned,3.22,20,18,0.17,Not south & Not central city
459,1072,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.37,40,10,2.92,Not south & Not central city
460,1075,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,NotMentioned,7.34,25,11,1.58,Not south & Not central city
461,1076,41,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Other,Nonunion,6.96,40,12,0.0,Not south & Not central city
462,1077,36,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.03,16,14,1.08,Not south & Not central city
463,1078,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Union,6.04,40,14,9.42,Not south & Not central city
464,1084,41,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Laborers,Nonunion,2.68,30,7,2.08,Not south & Central city
465,1085,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.67,24,19,19.42,Not south & Not central city
466,1086,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Personal services,Laborers,NotMentioned,4.83,40,17,4.08,Not south & Not central city
467,1087,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Operatives,Union,11.12,20,15,10.42,Not south & Not central city
468,1091,41,Black,Married,Has been married,15,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,9.68,40,20,9.08,South & Not central city
469,1092,38,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,4.6,35,10,9.67,Not south & Central city
470,1095,37,White,Single,Never married,14,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Professional/Technical,Nonunion,18.07,42,17,6.58,Not south & Not central city
471,1099,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,5.64,20,13,8.08,Not south & Central city
472,1101,39,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,6.71,60,17,16.75,Not south & Not central city
473,1105,37,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,8.36,50,15,13.75,Not south & Not central city
474,1106,44,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,3.36,42,13,2.92,Not south & Central city
475,1113,40,White,Single,Has been married,13,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,10.45,40,14,3.08,Not south & Not central city
476,1115,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.03,40,11,3.67,Not south & Not central city
477,1116,39,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,NotMentioned,5.02,36,17,1.58,Not south & Not central city
478,1118,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Laborers,Nonunion,4.43,5,6,4.17,Not south & Not central city
479,1119,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,2.33,40,11,5.0,Not south & Not central city
480,1120,36,White,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,4.27,41,14,1.67,South & Central city
481,1122,38,Black,Single,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6.76,40,18,14.75,Not south & Central city
482,1123,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,8.48,38,19,3.33,Not south & Not central city
483,1125,46,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Managers/Admin,Nonunion,19.36,40,20,20.33,Not south & Not central city
484,1131,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,NotMentioned,4.18,10,5,0.5,Not south & Not central city
485,1132,35,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Union,8.23,40,16,15.75,Not south & Not central city
486,1133,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Clerical/Unskilled,NotMentioned,4.6,25,8,3.42,Not south & Not central city
487,1134,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,4.43,8,5,1.75,Not south & Not central city
488,1140,40,White,Single,Never married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.75,50,19,3.42,Not south & Not central city
489,1141,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,6.96,20,17,10.25,Not south & Not central city
490,1143,38,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,15.1,40,20,20.08,Not south & Not central city
491,1147,42,White,Married,Has been married,10,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,NotMentioned,5.02,40,9,0.83,Not south & Not central city
492,1148,40,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Managers/Admin,Nonunion,13.33,40,17,17.17,Not south & Not central city
493,1150,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,7.93,40,12,3.17,Not south & Central city
494,1154,38,Black,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6.97,40,15,10.08,Not south & Central city
495,1155,37,Black,Married,Has been married,0,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,7.05,40,16,15.92,Not south & Central city
496,1157,38,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Sales,Nonunion,3.22,40,2,2.42,Not south & Central city
497,1159,41,White,Single,Never married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,5.88,40,12,3.58,South & Not central city
498,1162,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,4.76,35,16,16.42,Not south & Not central city
499,1164,36,Black,Single,Never married,10,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Laborers,Union,5.68,53,5,1.42,Not south & Central city
500,1169,38,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,11.84,24,15,2.33,Not south & Not central city
501,1171,44,Black,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,8.13,40,27,14.42,Not south & Central city
502,1174,37,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,12.08,40,9,9.33,Not south & Central city
503,1177,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,6.24,40,10,5.42,Not south & Central city
504,1181,39,Black,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,7.93,40,14,3.75,Not south & Central city
505,1186,37,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Craftsmen,Nonunion,3.53,40,8,0.0,Not south & Central city
506,1188,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,4.03,32,7,3.08,Not south & Not central city
507,1196,36,Black,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,NotMentioned,32.16,50,13,3.0,Not south & Not central city
508,1198,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,7.43,40,15,5.92,Not south & Not central city
509,1201,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,6.19,50,8,2.5,Not south & Not central city
510,1203,36,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,NotMentioned,6.79,40,14,0.33,Not south & Not central city
511,1204,36,Black,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,10.47,42,13,12.33,Not south & Central city
512,1209,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,25.81,36,19,4.92,Not south & Not central city
513,1213,40,White,Single,Has been married,16,College grad,South,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.03,40,7,1.08,South & Not central city
514,1217,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.87,35,6,4.33,South & Not central city
515,1218,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Sales,Nonunion,4.43,26,7,1.58,Not south & Not central city
516,1219,39,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,15.1,40,20,20.25,Not south & Not central city
517,1222,41,Black,Single,Never married,13,Not college grad,Not south,SMSA,Central city,,Sales,Nonunion,6.84,40,13,0.0,Not south & Central city
518,1224,41,Other,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,6.51,38,3,0.75,Not south & Central city
519,1227,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,5.07,40,10,1.08,Not south & Central city
520,1228,39,White,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,4.83,40,3,2.33,Not south & Central city
521,1233,34,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.36,37,10,2.75,Not south & Not central city
522,1238,43,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Laborers,NotMentioned,13.02,10,6,1.5,Not south & Central city
523,1241,45,White,Single,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,9.68,40,10,2.75,Not south & Central city
524,1242,37,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.84,40,7,4.17,South & Not central city
525,1243,44,White,Single,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,NotMentioned,5.63,2,14,2.5,Not south & Central city
526,1247,35,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,17.54,30,14,2.5,South & Central city
527,1248,41,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,10.85,36,11,5.75,Not south & Central city
528,1250,35,Black,Single,Never married,17,College grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,6.96,40,11,3.67,Not south & Central city
529,1257,41,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Managers/Admin,Nonunion,9.53,38,21,20.83,Not south & Central city
530,1259,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,NotMentioned,8.53,40,6,1.92,Not south & Not central city
531,1263,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.5,40,9,1.58,Not south & Not central city
532,1264,44,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Nonunion,5.42,60,19,0.0,Not south & Central city
533,1266,38,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.61,40,17,13.33,Not south & Central city
534,1269,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,7.4,40,17,13.75,Not south & Not central city
535,1271,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.76,5,7,0.75,Not south & Not central city
536,1273,39,White,Single,Never married,12,Not college grad,Not south,Not SMSA,Not central city,Personal services,Operatives,Nonunion,3.22,40,1,0.25,Not south & Not central city
537,1275,42,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,8.56,40,16,11.5,Not south & Central city
538,1276,38,Black,Single,Has been married,13,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,7.35,40,17,15.0,Not south & Central city
539,1280,35,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,3.42,40,8,1.42,Not south & Central city
540,1283,42,Black,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.07,40,17,17.42,Not south & Central city
541,1284,34,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,5.72,40,12,9.42,Not south & Not central city
542,1288,39,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,8.67,50,17,16.92,Not south & Not central city
543,1289,38,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,10.72,48,12,9.42,Not south & Not central city
544,1292,43,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,4.03,40,9,0.17,Not south & Central city
545,1304,43,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Personal services,Managers/Admin,Nonunion,5.51,45,10,6.25,Not south & Not central city
546,1309,42,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.9,20,13,3.25,Not south & Not central city
547,1313,41,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,12.78,40,10,1.67,Not south & Not central city
548,1320,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,NotMentioned,4.03,3,3,0.0,Not south & Not central city
549,1322,35,White,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,7.45,40,11,0.33,South & Not central city
550,1325,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.19,40,8,0.17,Not south & Not central city
551,1330,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,6.96,40,11,9.42,Not south & Not central city
552,1339,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Transport/Comm/Utility,Sales,Nonunion,8.05,30,14,10.67,Not south & Not central city
553,1340,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,NotMentioned,5.85,28,5,1.0,Not south & Not central city
554,1345,36,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Managers/Admin,NotMentioned,22.97,70,11,4.5,Not south & Not central city
555,1349,37,Black,Single,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,9.02,44,8,5.75,Not south & Central city
556,1355,35,Black,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.29,40,16,15.83,Not south & Not central city
557,1358,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.32,60,12,2.08,Not south & Not central city
558,1361,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,17.03,40,18,2.17,Not south & Not central city
559,1362,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,3.22,16,5,1.0,Not south & Not central city
560,1364,39,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,13.94,50,17,3.0,Not south & Central city
561,1366,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,NotMentioned,3.34,33,14,1.33,Not south & Not central city
562,1367,43,White,Married,Has been married,15,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.03,40,14,13.67,Not south & Not central city
563,1370,34,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.9,40,11,11.25,Not south & Not central city
564,1371,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,8.86,35,11,10.5,Not south & Not central city
565,1373,43,Black,Married,Has been married,11,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,12.75,40,14,6.83,Not south & Central city
566,1376,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,NotMentioned,5.43,40,13,0.33,Not south & Not central city
567,1379,43,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Nonunion,10.13,40,16,10.92,Not south & Central city
568,1380,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.01,40,15,9.75,Not south & Central city
569,1381,44,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,11.27,40,21,20.92,Not south & Not central city
570,1384,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.22,20,5,2.33,Not south & Not central city
571,1385,38,White,Single,Has been married,15,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,6.2,60,13,0.67,Not south & Not central city
572,1386,35,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,NotMentioned,3.76,32,4,0.17,Not south & Not central city
573,1389,37,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,NotMentioned,3.05,40,6,0.58,South & Not central city
574,1394,42,White,Single,Has been married,18,College grad,Not south,SMSA,Not central city,Manufacturing,Craftsmen,Union,9.5,44,16,15.08,Not south & Not central city
575,1396,41,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,16.26,40,19,18.83,Not south & Not central city
576,1398,36,Black,Single,Has been married,17,College grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,11.46,50,16,12.83,Not south & Central city
577,1408,37,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Other,Union,14.57,34,13,5.83,Not south & Central city
578,1411,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,3.22,30,16,1.83,South & Not central city
579,1415,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Personal services,Laborers,NotMentioned,9.68,8,12,3.92,Not south & Central city
580,1418,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.93,40,9,3.75,Not south & Not central city
581,1420,40,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,8.82,40,17,15.08,Not south & Central city
582,1426,37,White,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,4.83,40,5,3.0,South & Central city
583,1427,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,4.58,40,11,3.0,Not south & Central city
584,1428,42,White,Single,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,19.43,40,16,7.25,Not south & Central city
585,1434,42,White,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,NotMentioned,3.0,24,2,0.25,South & Not central city
